EPIC,SNR,V mag,Teff,Rstar,Mstar,Source,RA,DEC,t0 (-2454900),Period [d],Depth (absol),Durat. [hr],Rp,Mp (R<4),Mp (R>4),K value,Target #,Program,AO (lucky) observations,Activity amplitude %,Rotation period (day),Expected K from stellar variability (m/s),sigma_PFS (m/s),N_mea_needed,Comment,RAh,RAm,RAs,,,Decdeg,Decmin,Decsec,
212130773,,14.63,5021,0.742,0.787,Huber 2016,125.952752,22.634023,2251.884021,18.7157869,0.0011,5.1020853,2.72,6.81,4.53,1.96,,GO5007_LC|GO5020_LC,,0.014,61.9,8.487983853,7.8,34.73,faint,8,23,48.66,,+,22,44,28.04,
212136123,,15.09,5456,0.882,0.897,Huber 2016,129.211991,22.741123,2242.494228,2.2256917,0.0006,1.7835713,2.34,5.93,2.9,3.24,,GO5020_LC,,0.022,11.4,86.0893973,8.55,710.83,faint,8,36,50.88,,+,22,50,30.01,
212141021,,13.55,5103,0.792,0.863,Huber 2016,127.92118,22.84167,2240.094934,2.9182791,0.0003,2.0580264,1.53,3.99,0.81,2.03,,GO5007_LC|GO5020_LC,,0.01,13.1,30.57856767,6.08,235.48,faint,8,31,41.08,,+,23,17,50.56,
212161956,,15.21,4424,0.551,0.611,Huber 2016,126.372924,23.297377,2240.695799,7.1871053,0.0012,1.764221,2.12,5.4,2.14,2.42,,GO5060_LC,,0.0091,24.2,10.47950762,8.74,31.75,faint,8,25,29.5,,+,20,27,18.27,
212012119b,,12.06,4837,4.367,1.115,Huber 2016,132.169895,20.455076,2242.136491,3.2804851,0.0006,1.827476,11.57,26.22,350.2,150.98,, GO5020_LC|GO5089_LC|GO4104_LC,,0.013,9.42,304.8167963,3.7,4.08,giant star with multiple planets,8,48,40.77,,+,20,27,18.27,
212012119c,,12.06,4837,4.367,1.115,Huber 2016,132.169895,20.455076,2242.489859,8.4384857,0.0008,2.0173604,13.29,29.83,531.23,167.16,, GO5020_LC|GO5089_LC|GO4104_LC,,0.013,9.42,304.8167963,3.7,3.33,,8,48,40.77,,+,12,4,33.04,
211428897b,,14.09,3621,0.299,0.313,Huber 2016,128.857549,12.075844,2240.664313,1.610941,0.0004,1.0658735,0.67,0.25,0.07,0.26,,GO5020_LC|GO5097_LC|GO5011_LC|GO5006_LC,,0.0032,61.85,0.7824285977,6.95,742.52,Multi-planet system around a M dwarf. Pope+ and our original search only detect planet b. But c and d are detected in Andrew's light curve.,8,35,25.81,,+,12,4,33.04,
211428897c,,14.09,3621,0.299,0.313,Huber 2016,128.857549,12.075844,2241.467732,2.1782103,0.0004,1.1805789,0.64,0.21,0.06,0.2,,GO5020_LC|GO5097_LC|GO5011_LC|GO5006_LC,,0.0032,61.85,0.7824285977,6.95,1231.98,Multi-planet system around a M dwarf. Pope+ and our original search only detect planet b. But c and d are detected in Andrew's light curve.,8,35,25.81,,+,12,4,33.04,
211428897d,,14.09,3621,0.299,0.313,Huber 2016,128.857549,12.075844,2243.707795,4.9686442,0.0004,1.3331536,0.66,0.24,0.06,0.17,,GO5020_LC|GO5097_LC|GO5011_LC|GO5006_LC,,0.0032,61.85,0.7824285977,6.95,1743.21,Multi-planet system around a M dwarf. Pope+ and our original search only detect planet b. But c and d are detected in Andrew's light curve.,8,35,25.81,,+,14,1,10.06,
211562654b,,12.85,5608,1.408,1.015,Huber 2016,125.00716,14.019461,2247.776162,10.7928127,0.0006,3.5577284,3.63,8.93,10.85,2.71,,GO5007_LC|GO5029_LC,,0.0058,61.48,6.718310045,4.95,9.46,Pope+ and our original search only detect planet b. But c is detected in Andrew's light curve.,8,20,1.72,,+,14,1,10.06,
211562654c,,12.85,5608,1.408,1.015,Huber 2016,125.00716,14.019461,2240.60487,0.4694611,0.0001,1.8138835,1.73,4.47,1.17,3.86,,GO5007_LC|GO5029_LC,,0.0058,61.48,6.718310045,4.95,4.67,Pope+ and our original search only detect planet b. But c is detected in Andrew's light curve.,8,20,1.72,,+,23,11,33.36,
212157262b,,13.08,5394,0.834,0.887,Huber 2016,132.523609,23.192601,2246.329132,7.1491217,0.0011,2.53098,3.08,7.66,6.62,2.86,,GO5007_LC|GO5029_LC|GO5033_LC|GO5060_LC,,0.0036,31.7,4.79040842,5.33,6.3,Three-planet system. Pope+ and our original search only detect planet b. But c and d are detected in Andrew's light curve.,8,50,5.67,,+,23,11,33.36,
212157262c,,13.08,5394,0.834,0.887,Huber 2016,132.523609,23.192601,2241.75023,2.8718782,0.0003,2.1377979,1.58,4.11,0.89,2.08,,GO5007_LC|GO5029_LC|GO5033_LC|GO5060_LC,,0.0036,31.7,4.79040842,5.33,11.88,Three-planet system. Pope+ and our original search only detect planet b. But c and d are detected in Andrew's light curve.,8,50,5.67,,+,23,11,33.36,
212157262d,,13.08,5394,0.834,0.887,Huber 2016,132.523609,23.192601,2241.101158,0.7743123,0.0002,1.8352616,1.24,2.26,0.43,1.77,,GO5007_LC|GO5029_LC|GO5033_LC|GO5060_LC,,0.0036,31.7,4.79040842,5.33,16.47,Three-planet system. Pope+ and our original search only detect planet b. But c and d are detected in Andrew's light curve.,8,50,5.67,,+,0,0,0,
